序号,记录时间,位置_x(m),位置_y(m),位置_z(m),姿态_x,姿态_y,姿态_z,姿态_w,坐标系_frame_id
1,2025-11-18 21:26:08.407,1.548,-5.399,0.0,0.0,0.0,0.6657,0.7462,map
2,2025-11-18 21:26:27.509,3.331,-3.186,0.0,0.0,0.0,0.7026,0.7116,map
3,2025-11-18 21:26:47.482,3.708,0.064,0.0,0.0,0.0,0.7135,0.7007,map
4,2025-11-18 21:27:16.698,3.983,3.513,0.0,0.0,0.0,0.7134,0.7008,map
5,2025-11-18 21:27:52.636,3.384,6.611,0.0,0.0,0.0,-0.8389,0.5443,map
6,2025-11-18 21:28:36.484,3.522,3.423,0.0,0.0,0.0,-0.7084,0.7058,map
7,2025-11-18 21:29:07.228,1.934,2.494,0.0,0.0,0.0,-1.0,0.0086,map
8,2025-11-18 21:30:47.226,-0.956,4.658,0.0,0.0,0.0,-1.0,0.0089,map
9,2025-11-18 21:31:24.129,-2.818,3.247,0.0,0.0,0.0,-0.7107,0.7035,map
10,2025-11-18 21:31:53.726,-2.097,0.505,0.0,0.0,0.0,-0.0283,0.9996,map
11,2025-11-18 21:32:22.487,0.303,0.42,0.0,0.0,0.0,-0.6905,0.7233,map
12,2025-11-18 21:32:37.948,0.509,-2.139,0.0,0.0,0.0,-0.9917,0.1285,map
13,2025-11-18 21:33:25.631,-2.147,-2.091,0.0,0.0,0.0,-0.9921,0.1257,map
14,2025-11-18 21:33:57.724,-3.675,-5.832,0.0,0.0,0.0,-0.4852,0.8744,map
15,2025-11-18 21:34:30.134,-3.182,-4.896,0.0,0.0,0.0,0.7855,0.6189,map
16,2025-11-18 21:35:05.734,-3.071,-2.268,0.0,0.0,0.0,-0.0131,0.9999,map
17,2025-11-18 21:35:38.069,0.545,-2.394,0.0,0.0,0.0,0.7133,0.7009,map
